year,total_ba,expenditure,ratio
2001,116690.5,202267,1.7333630415500834
2002,129713.9,226758,1.7481395594458267
2003,470613.6,245824,0.5223478454511302
2004,148180.1,248227,1.6751709575037403
2005,344505.2,276341,0.8021388356402167
2006,79485.8,285101,3.5868167647554654
2007,33989.1,295995,8.708527145467224
2008,17349.8,310253,17.882223426206643
2009,90485.7,306098,3.3828328675138724
2010,138739.2,316262,2.2795432004797487
2011,74630.9,319707,4.283842215489831
2012,116154.4,317299,2.731700219707562
2013,156633.7,318522,2.033547059157767
2014,21092.6,327973,15.549197348833241
2015,64932.6,359532,5.537002984633297
2016,105478.04142314782,368083,3.489664721051806
2017,514395.9039559986,411799,0.800548754049226
2018,39852.652042094036,428457,10.75102855256523
2019,40145.49723058378,448316,11.167279792924383
2020,66196.33146892845,446477,6.744739324558636
